#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# /Users/friedman1/idl/sn/text/00_bayesn_fixed_metadata.txt
# Created by User : friedman1
# On Machine      : multiverse.mit.edu
# On Date         : Wed Mar  2 17:35:14 EST 2016
# From IDL Script : ~/Desktop/CfAIR2_paper/bayesn_metadata.pro
# With IDL Script : /Users/friedman1/idl/sn/write_array_file.pro
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Header 
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#snname           type   RA          DEC            RA_sex        DEC_sex      lII         bII          z_helio        z_err   z_cmb          E(B-V)   dE(B-V)   Av_gal   Gal_Name                     Morph                TBmax      dTBmax   TBmax_est   Av_mlcs   dAv     Rv_mlcs   dRv    Delta    dDelta   mu_mlcs   dmu     Comments                                                                    
sn2006gr          Ia     338.09446   30.828694      22h32m22.7s   +30d49m43s   90.739060   -23.212119   0.034597300    0.001   0.033481178    0.0849   0.0017    0.2633   UGC_12071                    SBb                  54012.07   0.15     -999        0.485     0.097   2.99      0.33   -0.257   0.032    36.179    0.096   2015-Jun-06_21:10:48_(grid)_good_fit_(0.5269_<_3.0000000)_sn2006gr          
sn2006cz          Ia     222.15275   -4.7418611     14h48m36.7s   -04d44m31s   348.99193   47.377503    0.041798900    0.001   0.042528432    0.0828   0.0036    0.2567   MCG_-1-38-2                  SA(s)cd?             53903      3        53903       0.614     0.160   3.02      0.34   -0.175   0.202    35.921    0.215   tbmax_CfA3_CBET_550_MLCS_larger_error                                       
sn2006cp          Ia     184.81204   22.427278      12h19m14.9s   +22d25m38s   243.94885   81.315395    0.022288800    0.001   0.023318377    0.0267   0.0012    0.0828   UGC_7357                     SAB(s)c              53896.76   0.14     -999        0.542     0.093   2.80      0.28   -0.166   0.048    35.114    0.099   2015-Jun-06_20:54:51_(grid)_good_fit_(0.8923_<_3.0000000)_sn2006cp          
sn2006ax          Ia     171.01442   -12.291444     11h24m03.5s   -12d17m29s   271.84497   45.240835    0.016738200    0.001   0.017968768    0.0503   0.0022    0.1560   NGC_3663                     SA(rs)bc(pec)        53826.98   0.14     -999        0.030     0.023   2.80      0.00   -0.109   0.034    34.771    0.051   2015-Jun-05_18:35:20_(grid)_bad_fit_(15.1574_>_3.0000000)_sn2006ax          
sn2006ac          Ia     190.43558   35.062833      12h41m44.9s   +35d05m07s   136.97764   81.799430    0.023272800    0.001   0.024115775    0.0157   0.0007    0.0486   NGC_4619                     SB(r)b(pec)?         53781.38   0.30     -999        0.194     0.079   3.03      0.35   0.230    0.062    35.327    0.091   2015-Jun-06_20:45:14_(grid)_good_fit_(0.4859_<_3.0000000)_sn2006ac          
sn2006X           Ia     185.72500   15.809200      12h22m54.0s   +15d48m33s   271.15068   76.885576    0.0051900000   0.001   0.0062748618   0.0262   0.0003    0.0811   M_100                        SAB(s)bc             53785.90   0.11     -999        3.233     0.032   2.29      0.04   -0.040   0.030    30.416    0.043   2015-Apr-25_17:36:32_(grid)_good_fit_(1.0127_<_3.0000000)_sn2006X           
sn2006N           Ia     92.130167   64.723639      06h08m31.2s   +64d43m25s   149.44287   19.973347    0.014276600    0.001   0.014268489    0.0959   0.0011    0.2973   MCG_+11-8-12                 Anon                 53760.44   0.50     -999        0.139     0.084   3.09      0.36   0.468    0.066    34.234    0.087   2015-Jun-05_19:50:08_(grid)_good_fit_(0.3923_<_3.0000000)_sn2006N           
sn2006D           Ia     193.14100   -9.7752200     12h52m33.9s   -09d46m31s   303.39389   53.095468    0.0085260000   0.001   0.0096474828   0.0457   0.0005    0.1418   MCG_-1-33-34                 SAB(s)abpec?         53757.30   0.21     -999        0.121     0.060   3.08      0.36   0.492    0.054    33.170    0.068   2015-Jun-05_20:21:53_(grid)_bad_fit_(20.0334_>_3.0000000)_sn2006D           
sn2005na          Ia     105.40300   14.133300      07h01m36.6s   +14d08m00s   201.39828   8.6062419    0.026322000    0.001   0.026833273    0.0775   0.0029    0.2404   UGC_3634                     SB(r)a               53740.57   0.36     -999        0.038     0.032   2.80      0.00   -0.003   0.040    35.618    0.060   2015-Jun-05_18:33:21_(grid)_bad_fit_(96.9865_>_3.0000000)_sn2005na          
sn2005ls          Ia     43.566500   42.724900      02h54m16.0s   +42d43m30s   145.74474   -14.640643   0.021118000    0.001   0.020505527    0.0933   0.0028    0.2891   MCG_+7-7-1                   Spiral               53714      2        53714       1.204     0.147   2.91      0.30   -0.213   0.053    34.460    0.150   tbmax_CfA3_MLCS_larger_error                                                
sn2005iq          Ia     359.63542   -18.709167     23h58m32.5s   -18d42m33s   64.849757   -75.210585   0.033000000    0.001   0.031908682    0.0221   0.0008    0.0685   MCG_-03-1-8                  Sa                   53687.45   0.22     -999        0.023     0.022   2.80      0.00   0.157    0.049    36.355    0.060   2015-Apr-25_14:55:41_(grid)_good_fit_(0.4624_<_3.0000000)_sn2005iq          
sn2005eu          Ia     36.930250   28.176833      02h27m43.3s   +28d10m37s   147.47790   -30.065211   0.034120000    0.001   0.033337429    0.1308   0.0032    0.4054   NSF_J022743.32+281037.6      Anon                 53659.70   0.16     -999        0.032     0.032   2.80      0.00   -0.153   0.039    36.280    0.071   2015-Jun-06_19:23:23_(grid)_good_fit_(0.7999_<_3.0000000)_sn2005eu          
sn2005eq          Ia     47.205500   -7.0332500     03h08m49.3s   -07d02m00s   187.63284   -51.731602   0.028977000    0.001   0.028371074    0.0754   0.0037    0.2338   MCG_-1-9-6                   SB(rs)cd?            53653.73   0.19     -999        0.059     0.041   2.90      0.20   -0.238   0.030    35.921    0.057   2015-Jun-05_19:12:54_(grid)_bad_fit_(7.5283_>_3.0000000)_sn2005eq           
sn2005el          Ia     77.953000   5.1942800      05h11m48.7s   +05d11m39s   196.18408   -19.389390   0.014910000    0.001   0.014895123    0.1141   0.0005    0.3536   NGC_1819                     SB0                  53646.33   0.17     -999        0.017     0.015   2.80      0.00   0.256    0.044    34.454    0.062   2015-Jun-05_18:17:54_(grid)_good_fit_(1.3774_<_3.0000000)_sn2005el          
sn2005ch          Ia     215.52821   1.9932500      14h22m06.7s   +01d59m36s   347.60787   56.782631    0.027000000    0.001   0.027823865    0.0360   0.0012    0.1116   APMUKS(BJ)_B141934.25+0213   Anon                 53536      3        53536       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_IAUC_8541                                                             
sn2005cf          Ia     230.38900   -7.4488900     15h21m32.2s   -07d24m47s   354.81292   39.845931    0.0064330000   0.001   0.0070172213   0.0981   0.0015    0.3026   MCG_-1-39-3                  S0pec                53533.56   0.11     -999        0.381     0.087   2.97      0.33   -0.108   0.032    32.589    0.079   2015-Jun-06_21:21:54_(grid)_good_fit_(0.4486_<_3.0000000)_sn2005cf          
sn2005bo          Ia     193.07386   -11.367968     12h49m41.0s   -11d05m47s   303.26950   51.503170    0.013900000    0.001   0.015020521    0.0459   0.0003    0.1424   NGC_4708                     SA(r)abpec?          53477.99   0.53     -999        0.992     0.119   3.03      0.33   0.146    0.060    33.913    0.125   2015-Jun-02_18:03:55_(grid)_good_fit_(2.5234_<_3.0000000)_sn2005bo          
sn2005ao          Ia     266.20683   61.907806      17h44m49.7s   +61d54m28s   90.989887   31.491005    0.038406000    0.001   0.038190827    0.0518   0.0019    0.1606   NGC_6462                     E?                   53442      2        53442       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_IAUC_8492                                                             
sn2004ef          Ia     341.14903   20.257470      22h42m10.0s   +19d59m40s   86.663349   -33.532794   0.031000000    0.001   0.029803799    0.0549   0.0015    0.1702   UGC_12158                    Sb                   53264.35   0.10     -999        0.340     0.079   3.05      0.34   0.329    0.053    35.754    0.072   2015-Jul-09_22:43:56_(grid)_bad_fit_(136.8319_>_3.0000000)_sn2004ef         
sn2004ey          Ia     327.92185   0.67925000     21h49m07.8s   +00d26m39s   58.195265   -38.649171   0.015800000    0.001   0.014644695    0.1380   0.0162    0.4277   UGC_11816                    SB(rs)c?             53304.36   0.16     53304.360   0.025     0.023   2.80      0.00   -0.093   0.033    34.574    0.059   2015-Apr-24_17:29:00_(grid)_good_fit_(0.2498_<_3.0000000)_sn2004ey          
sn2004gs          Ia     130.30463   17.449011      08h38m23.2s   +17d37m40s   208.44902   31.873789    0.026700000    0.001   0.027581968    0.0309   0.0007    0.0959   ARK_174                      S0?                  53356.50   0.20     -999        0.416     0.115   3.56      0.45   0.790    0.056    35.425    0.090   2015-Apr-25_19:43:56_(grid)_good_fit_(0.8274_<_3.0000000)_sn2004gs          
sn2005A           Ia     38.312400   -2.7194700     02h30m43.2s   -02d56m20s   172.24785   -55.521024   0.019100000    0.001   0.018323405    0.0302   0.0002    0.0935   NGC_958                      SB(rs)c?             53415.52   0.37     -999        0.279     0.105   3.21      0.40   -0.033   0.043    37.768    0.111   2015-Jul-10_21:08:46_(grid)_good_fit_(0.3935_<_3.0000000)_sn2005A           
sn2005M           Ia     145.09396   22.973505      09h37m32.4s   +23d12m03s   207.47020   46.781338    0.022000000    0.001   0.022982926    0.0312   0.0021    0.0968   NGC_2930                     S?                   53404.34   0.13     -999        0.042     0.030   2.80      0.00   -0.309   0.025    35.673    0.044   2015-Apr-25_17:58:57_(grid)_bad_fit_(96.4570_>_3.0000000)_sn2005M           
sn2005ag          Ia     224.79094   9.1299160      14h56m43.7s   +09d19m42s   8.1703834   54.895076    0.079400000    0.001   0.080040574    0.0404   0.0014    0.1253   2MASX_J14564322+0919361      Anon                 53429.99   0.22     -999        0.006     0.005   2.80      0.00   -0.065   0.039    34.869    0.053   2015-Jul-10_20:15:18_(grid)_good_fit_(1.2584_<_3.0000000)_sn2005ag          
sn2005al          Ia     208.21934   -30.822289     13h50m00.3s   -30d34m34s   318.19484   30.221994    0.012400000    0.001   0.013282692    0.0560   0.0019    0.1736   NGC_5304                     cDpec?               53436.41   0.33     -999        0.052     0.037   2.80      0.00   0.479    0.064    32.768    0.071   2015-Apr-25_17:57:57_(grid)_bad_fit_(10.7185_>_3.0000000)_sn2005al          
sn2005am          Ia     139.63918   -16.515620     09h16m12.5s   -16d18m16s   246.76758   22.411800    0.0079000000   0.001   0.0089789681   0.0540   0.0021    0.1675   NGC_2811                     SB(rs)a              53436.06   0.33     -999        0.074     0.045   2.99      0.26   0.485    0.063    32.737    0.070   2015-Jul-10_22:26:22_(grid)_good_fit_(0.4334_<_3.0000000)_sn2005am          
sn2005hc          Ia     29.840201   0.028498000    01h56m47.9s   -00d12m49s   156.71439   -58.316251   0.045900000    0.001   0.044984630    0.0331   0.0008    0.1026   MCG_+00-6-3                  Anon                 53667.64   0.25     -999        0.042     0.031   2.80      0.00   -0.185   0.036    37.048    0.054   2015-Apr-25_14:13:28_(grid)_good_fit_(0.6198_<_3.0000000)_sn2005hc          
sn2005kc          Ia     339.16131   5.8280050      22h34m07.3s   +05d34m06s   73.213072   -43.655022   0.015100000    0.001   0.013877279    0.1323   0.0027    0.4101   NGC_7311                     Sab                  53697.46   0.11     53688.700   0.910     0.146   3.27      0.41   0.049    0.050    34.022    0.127   2015-Jul-10_21:39:47_(grid)_good_fit_(1.7045_<_3.0000000)_sn2005kc          
sn2005ki          Ia     160.77311   8.9400630      10h40m28.2s   +09d12m08s   237.81004   54.660647    0.019200000    0.001   0.020380369    0.0321   0.0011    0.0995   NGC_3332                     (R)SA0^-             53705.43   0.13     -999        0.018     0.016   2.80      0.00   0.311    0.046    35.011    0.060   2015-Apr-25_15:01:22_(grid)_good_fit_(0.5772_<_3.0000000)_sn2005ki          
sn2006bh          Ia     340.92018   -66.222636     22h40m16.1s   -66d29m06s   320.88116   -46.201989   0.010900000    0.001   0.010546223    0.0267   0.0005    0.0828   NGC_7329                     SB(r)b               53833.40   0.26     -999        0.021     0.018   2.80      0.00   0.358    0.057    33.724    0.068   2015-Jul-09_20:31:27_(grid)_bad_fit_(18.9849_>_3.0000000)_sn2006bh          
sn2006eq          Ia     322.79152   1.4489480      21h28m37.1s   +01d13m41s   55.277126   -34.024664   0.049500000    0.001   0.048385300    0.0480   0.0005    0.1487   2MASX_J21283758+0113490      Anon                 53976.77   1.73     -999        0.167     0.123   3.12      0.36   0.842    0.157    36.811    0.112   2015-Apr-25_18:51:18_(grid)_bad_fit_(106.5101_>_3.0000000)_sn2006eq         
sn2006dd          Ia     50.673417   -37.203611     03h22m41.6s   -37d12m13s   240.15456   -56.690917   0.0058710000   0.001   0.0055126610   0.0208   0.0002    0.0648   NGC_1316                     SAB0^0(s)pec         53919.41   0.08     53919.41    -999      -999    -999      -999   -999     -999     -999      -999    tbmax_stritzinger10                                                         
sn2005hj          Ia     21.701125   -1.2380000     01h26m48.3s   -01d14m17s   142.54524   -62.755170   0.058000000    0.001   0.056981436    0.0390   0.0015    0.1210   SDSS_J012648.45-011417.3     Anon                 53673.97   0.40     -999        0.067     0.052   2.89      0.20   -0.319   0.035    37.456    0.068   2015-Jul-09_18:42:37_(grid)_good_fit_(0.6176_<_3.0000000)_sn2005hj          
sn2005ku          Ia     344.92754   -0.013694000   22h59m42.6s   -00d00m49s   73.613907   -51.851893   0.045400000    0.001   0.044173472    0.0536   0.0010    0.1662   2MASX_J22594265-0000478      Anon                 53696      3        53696       0.073     0.052   3.00      0.26   -0.187   0.079    37.125    0.083   tbmax_MLCS_larger_error                                                     
sn2006br          Ia     202.50750   13.415778      13h30m01.8s   +13d24m57s   338.16921   73.587585    0.024600000    0.001   0.025549831    0.0251   0.0011    0.0777   NGC_5185                     Sb                   53849      2        53849       2.566     0.218   2.73      0.24   -0.012   0.073    35.089    0.219   tbmax_MLCS_larger_error                                                     
sn2006ej          Ia     9.7490420   -9.0157220     00h38m59.8s   -09d00m57s   113.13075   -71.650274   0.020500000    0.001   0.019396674    0.0350   0.0009    0.1086   NGC_191A                     S0pecedge-on         53975.25   0.41     -999        0.029     0.027   2.80      0.00   0.267    0.061    35.133    0.071   2015-Apr-25_18:14:36_(grid)_bad_fit_(170.2400_>_3.0000000)_sn2006ej         
sn2006et          Ia     10.690917   -23.558444     00h42m45.8s   -23d33m30s   93.693143   -85.927820   0.022600000    0.001   0.021621229    0.0192   0.0001    0.0594   NGC_232                      SB(r)a?pec           53993.29   0.20     -999        0.558     0.085   3.05      0.34   -0.213   0.034    35.017    0.094   2015-Apr-25_20:21:33_(grid)_bad_fit_(178.2309_>_3.0000000)_sn2006et         
sn2006ev          Ia     322.74692   13.989222      21h30m59.3s   +13d59m21s   66.756039   -26.332166   0.028733200    0.001   0.027618933    0.0906   0.0018    0.2808   UGC_11758                    S?                   53987      3        53987       0.264     0.126   3.08      0.36   0.192    0.073    36.039    0.112   tbmax_MLCS_larger_error                                                     
sn2006gj          Ia     49.399167   -1.6917220     03h17m35.8s   -01d41m30s   183.19752   -46.736168   0.028292900    0.001   0.027709361    0.0836   0.0019    0.2591   UGC_2650                     Sab                  53999.34   0.52     -999        0.348     0.090   1.90      0.00   -0.146   0.076    34.432    0.118   2012-Jan-06_03:07:13_(grid)_bad_fit_(110.5821_>_3.0000000)_sn2006gj         
sn2006hb          Ia     75.505333   -21.131972     05h02m01.3s   -21d07m55s   221.54101   -33.081354   0.015343900    0.001   0.015348034    0.0275   0.0008    0.0851   ESO_552-G52                  E?                   53999      3        53999       0.102     0.065   3.09      0.36   0.655    0.079    34.216    0.086   tbmax_MLCS_larger_error                                                     
sn2006hx          Ia     18.488792   0.37166700     01h13m57.3s   +00d22m18s   134.98075   -61.972129   0.045500000    0.001   0.044440419    0.0302   0.0008    0.0937   2MASX_J01135716+0022171      S0                   54021.58   0.22     -999        0.729     0.150   3.39      0.46   -0.086   0.067    36.508    0.164   2015-Jul-09_21:52:56_(grid)_bad_fit_(105.6324_>_3.0000000)_sn2006hx         
sn2006is          Ia     79.393208   -23.781722     05h17m34.4s   -23d46m54s   225.86321   -30.543026   0.031400000    0.001   0.031487768    0.0336   0.0005    0.1040   APMUKS(BJ)B051529.79-2350    Anon                 54013      2        54013       0.012     0.010   2.80      0.00   -0.223   0.033    36.126    0.047   tbmax_MLCS_larger_error                                                     
sn2006kf          Ia     55.460333   8.1569440      03h41m50.5s   +08d09m25s   178.54712   -35.717059   0.021301400    0.001   0.020813733    0.2466   0.0023    0.7644   UGC_2829                     S0                   54040.38   0.27     54029.060   0.048     0.041   2.90      0.20   0.550    0.061    35.165    0.074   2015-Apr-25_19:27:38_(grid)_good_fit_(1.1760_<_3.0000000)_sn2006kf          
sn2006lu          Ia     138.82346   -25.600083     09h15m17.6s   -25d36m00s   253.55126   15.922391    0.053400000    0.001   0.054432105    0.1159   0.0018    0.3593   2MASX_J09151727-2536001      Anon                 54036      2        54036       0.032     0.030   2.80      0.00   -0.114   0.044    37.289    0.075   tbmax_MLCS_larger_error                                                     
sn2006ob          Ia     27.950458   0.26341700     01h51m48.1s   +00d15m48s   153.29863   -59.002508   0.032800000    0.001   0.031857507    0.0333   0.0010    0.1032   UGC_1333                     Sb?                  54062.67   0.27     -999        0.105     0.077   3.12      0.37   0.616    0.069    37.156    0.083   2015-Jul-09_22:04:17_(grid)_bad_fit_(102.1372_>_3.0000000)_sn2006ob         
sn2006os          Ia     43.754208   16.009667      02h55m01.0s   +16d00m35s   161.38279   -37.468722   0.032809400    0.001   0.032103270    0.1472   0.0054    0.4563   UGC_2384                     S                    54063      2        54063       1.255     0.167   3.07      0.34   0.003    0.058    35.554    0.157   tbmax_MLCS_larger_error                                                     
sn2007A           Ia     6.3194170   12.886806      00h25m16.7s   +12d53m13s   113.09144   -49.484377   0.017700000    0.001   0.016529649    0.0736   0.0019    0.2283   NGC_105                      SAab?                54112.63   0.42     -999        0.374     0.120   1.90      0.00   -0.096   0.104    34.821    0.135   2012-Jan-04_12:30:33_(grid)_good_fit_(0.1406_<_3.0000000)_sn2007A           
sn2007af          Ia     215.58763   -0.39377800    14h22m21.0s   -00d23m38s   345.09178   54.857790    0.0055000000   0.001   0.0063296743   0.0391   0.0009    0.1211   NGC_5584                     SAB(rs)cd            54173.71   0.12     -999        0.409     0.071   3.05      0.35   -0.030   0.034    32.342    0.078   2015-Apr-26_02:26:19_(grid)_bad_fit_(21.3158_>_3.0000000)_sn2007af          
sn2007ai          Ia     243.22392   -21.630194     16h12m53.7s   -21d37m49s   353.03760   21.079687    0.031661900    0.001   0.032008808    0.3313   0.0040    1.0272   ESO_584-G7                   Sc                   54170      2        54170       0.418     0.205   3.12      0.37   -0.217   0.043    36.022    0.112   tbmax_CBET_880_MLCS_bad_fit                                                 
sn2007as          Ia     141.90004   -80.177556     09h27m36.0s   -80d10m39s   294.78821   -20.711780   0.017572200    0.001   0.017908610    0.1425   0.0008    0.4416   ESO_18-G18                   Sb                   54178.64   0.50     -999        -1.520    0.048   1.90      0.00   -1.333   0.025    37.664    0.074   2012-Jan-04_04:14:27_(grid)_bad_fit_(115.0126_>_3.0000000)_sn2007as         
sn2007bc          Ia     169.81071   20.809028      11h19m14.6s   +20d48m33s   224.66998   68.050275    0.020800000    0.001   0.021894204    0.0216   0.0007    0.0669   UGC_6332                     (R)SBa               54199.61   0.30     -999        0.347     0.088   3.09      0.36   0.196    0.055    35.005    0.094   2015-Jun-06_17:25:02_(grid)_bad_fit_(140.3178_>_3.0000000)_sn2007bc         
sn2007bd          Ia     127.88867   -1.1994440     08h31m33.3s   -01d11m58s   226.07380   21.525105    0.030908000    0.001   0.031850210    0.0342   0.0010    0.1060   UGC_4455                     SB(r)a               54206.28   0.12     -999        0.069     0.048   2.99      0.26   0.191    0.053    36.016    0.071   2015-Jun-06_16:41:33_(grid)_bad_fit_(204.1279_>_3.0000000)_sn2007bd         
sn2007bm          Ia     171.25960   -9.7983000     11h25m02.3s   -09d47m54s   270.42418   47.546045    0.0062110000   0.001   0.0074450851   0.0410   0.0004    0.1273   NGC_3672                     SA(s)c               54223.88   0.13     -999        1.572     0.145   2.81      0.26   0.128    0.053    31.974    0.146   2015-Jun-06_17:12:45_(grid)_good_fit_(0.2729_<_3.0000000)_sn2007bm          
sn2007hx          Ia     31.612833   -0.89952800    02h06m27.1s   -00d53m58s   160.50980   -58.189286   0.080000000    0.001   0.079112954    0.0350   0.0012    0.1085   SDSS_J020626.74-005400.4     Anon                 54353.88   0.88     -999        0.632     0.116   3.08      0.36   -0.116   0.069    38.146    0.136   2015-Jul-15_22:19:54_(grid)_good_fit_(0.4839_<_3.0000000)_sn2007hx          
sn2007jg          Ia     52.461750   0.056833000    03h29m50.8s   +00d03m25s   184.00994   -43.257002   0.037100000    0.001   0.036570066    0.1065   0.0023    0.3303   SDSS_J032950.83+000316.0     Anon                 54366.25   0.37     -999        0.117     0.069   3.07      0.36   0.145    0.062    36.617    0.084   2015-Jul-09_22:15:06_(grid)_good_fit_(0.5036_<_3.0000000)_sn2007jg          
sn2007on          Ia     54.712496   -35.575311     03h38m51.0s   -35d34m31s   236.92327   -53.558345   0.0065000000   0.001   0.0061923598   0.0117   0.0004    0.0362   NGC_1404                     E1                   54419.62   0.01     -999        0.001     0.002   1.90      0.00   -0.810   0.005    35.562    0.019   2012-Jan-06_06:26:28_(grid)_good_fit_(0.4339_<_3.0000000)_sn2007on          
sn2008R           Ia     45.973750   -11.994278     03h03m53.7s   -11d59m39s   193.48919   -55.479562   0.013502700    0.001   0.012896576    0.0724   0.0007    0.2243   NGC_1200                     SA0^-(s)             54494.08   0.34     -999        0.046     0.037   2.80      0.00   0.857    0.057    33.959    0.067   2015-Jul-11_01:40:50_(grid)_good_fit_(0.5072_<_3.0000000)_sn2008R           
sn2008bc          Ia     144.63012   -63.973778     09h38m31.2s   -63d58m26s   283.60388   -8.6040055   0.015087100    0.001   0.015717011    0.2624   0.0048    0.8135   KK1524                       S                    54549.15   0.13     54534.940   0.049     0.040   2.80      0.00   -0.152   0.034    34.587    0.067   2015-Apr-26_00:07:46_(grid)_good_fit_(0.4796_<_3.0000000)_sn2008bc          
sn2008bq          Ia     100.26046   -38.038611     06h41m02.5s   -38d02m19s   247.00322   -18.225555   0.034000200    0.001   0.034459205    0.0915   0.0024    0.2836   ESO_308-G25                  Sa                   54562      1        54562       -0.768    0.013   1.90      0.00   -1.101   0.006    36.701    0.042   tbmax_MLCS_larger_error                                                     
sn2008fp          Ia     109.13583   -29.325472     07h16m32.6s   -29d19m32s   241.87998   -7.9609522   0.0056640000   0.001   0.0062912437   0.1961   0.0018    0.6080   ESO_428-G14                  SAB0^0(r)pec         54730.13   0.27     -999        1.380     0.142   2.66      0.23   -0.113   0.041    31.655    0.123   2015-Apr-26_13:05:49_(grid)_good_fit_(0.1596_<_3.0000000)_sn2008fp          
sn2008gp          Ia     50.753042   1.3618890      03h23m00.7s   +01d21m43s   181.11968   -43.733142   0.033413100    0.001   0.032847089    0.1212   0.0059    0.3757   CGCG_390-078                 (R)SAB(r)apec?       54778.42   0.18     -999        0.057     0.047   2.89      0.20   -0.078   0.043    36.098    0.069   2015-Apr-26_12:25:38_(grid)_good_fit_(0.2100_<_3.0000000)_sn2008gp          
sn2008ia          Ia     132.64646   -61.277944     08h50m35.1s   -61d16m41s   277.80711   -10.801765   0.021711700    0.001   0.022325013    0.2285   0.0058    0.7085   ESO_125-G6                   S0                   54812.39   0.37     -999        0.068     0.060   2.89      0.20   0.257    0.074    35.222    0.087   2015-Apr-26_12:24:56_(grid)_good_fit_(0.4039_<_3.0000000)_sn2008ia          
sn2004eo          Ia     308.22579   9.9285280      20h32m54.2s   +09d55m43s   54.167760   -17.273992   0.015700900    0.001   0.014745191    0.1080   0.0011    0.3347   NGC_6928                     SB(s)ab              53278.04   0.01     -999        0.004     0.004   2.80      0.00   -1.103   0.000    36.788    0.001   2015-Apr-24_19:29:01_(grid)_bad_fit_(10.6705_>_3.0000000)_sn2004eo          
sn2004S           Ia     101.44450   -31.230389     06h45m43.5s   -31d13m52s   240.79031   -14.786067   0.0093598000   0.001   0.0098554977   0.1000   0.0016    0.3099   MCG_-5-16-21                 Sc                   53039.87   0.25     53039.87    0.146     0.074   1.90      0.00   -0.052   0.051    33.623    0.085   tbmax_krisciunas07                                                          
sn2003hv          Ia     46.038800   -26.085400     03h04m09.3s   -26d05m08s   218.57537   -60.402038   0.0056240000   0.001   0.0051059759   0.0152   0.0009    0.0473   NGC_1201                     SA0^0(r)?            52888.61   0.67     -999        0.041     0.032   2.80      0.00   0.396    0.062    31.747    0.077   2012-Jan-11_18:41:51_(grid)_good_fit_(0.2936_<_3.0000000)_sn2003hv          
sn2003du          Ia     218.65425   59.337806      14h34m35.8s   +59d20m04s   101.18024   53.214355    0.0063844200   0.001   0.0066522584   0.0101   0.0009    0.0313   UGC_9391                     SBdm                 52765.36   0.16     52766.380   0.045     0.032   2.80      0.00   -0.117   0.033    33.220    0.052   2015-Jul-10_02:21:24_(grid)_good_fit_(0.1239_<_3.0000000)_sn2003du          
sn2003cg          Ia     153.56654   3.4673610      10h14m16.0s   +03d28m02s   238.20364   45.650969    0.0041295000   0.001   0.0053077339   0.0310   0.0002    0.0960   NGC_3169                     SA(s)apec            52728.92   0.13     -999        2.825     0.138   2.04      0.11   0.013    0.036    31.432    0.140   2015-Jul-11_02:55:36_(grid)_good_fit_(0.3689_<_3.0000000)_sn2003cg          
sn2002fk          Ia     50.523800   -15.400900     03h22m05.7s   -15d24m03s   202.20077   -53.160283   0.0071250000   0.001   0.0066183560   0.0399   0.0004    0.1238   NGC_1309                     SA(s)bc?             52547.18   0.14     -999        0.100     0.061   3.11      0.37   -0.115   0.034    32.867    0.071   2015-Jul-10_02:54:01_(grid)_good_fit_(0.3575_<_3.0000000)_sn2002fk          
sn2002dj          Ia     198.25142   -19.519083     13h13m00.3s   -19d31m09s   309.89447   43.060870    0.0093932000   0.001   0.010443682    0.0953   0.0011    0.2954   NGC_5018                     E3?                  52450.39   0.13     52488.410   0.418     0.094   2.90      0.31   -0.032   0.047    33.130    0.085   2015-Jul-10_20:04:57_(grid)_good_fit_(0.6402_<_3.0000000)_sn2002dj          
sn2002cv          Ia     154.51533   21.835000      10h18m03.7s   +21d50m06s   213.02692   54.838917    0.0043000000   0.001   0.0053527745   0.0251   0.0002    0.0778   NGC_3190                     SA(s)a(pec)edge-on   52418.29   0.09     -999        1.528     0.282   1.90      0.00   0.196    0.067    33.999    0.202   2012-Jan-06_16:32:05_(grid)_bad_fit_(117.3535_>_3.0000000)_sn2002cv         
sn2001el          Ia     56.127500   -44.639833     03h44m30.6s   -44d38m23s   251.51583   -51.398828   0.0038960000   0.001   0.0036759407   0.0141   0.0004    0.0443   NGC_1448                     SAcd?edge-on         52181.62   0.16     -999        0.784     0.092   2.86      0.29   -0.089   0.039    31.562    0.100   2015-Jul-10_20:53:53_(grid)_good_fit_(0.3463_<_3.0000000)_sn2001el          
sn2001cz          Ia     191.87571   -39.580030     12h47m30.2s   -39d34m48s   302.10644   23.285406    0.016300000    0.001   0.017261653    0.0917   0.0006    0.2843   NGC_4679                     SB(s)c(pec)?         52103.87   0.30     -999        0.328     0.132   3.05      0.35   -0.071   0.054    34.316    0.124   2015-Apr-25_17:03:52_(grid)_bad_fit_(89.1541_>_3.0000000)_sn2001cz          
sn2001cn          Ia     281.57433   -65.761610     18h46m17.8s   -65d45m42s   329.64096   -24.053606   0.015400000    0.001   0.015335607    0.0592   0.0009    0.1836   IC_4758                      Sc                   52071.01   0.73     -999        0.546     0.105   2.98      0.33   0.009    0.052    34.130    0.112   2015-Apr-25_17:23:20_(grid)_good_fit_(0.3497_<_3.0000000)_sn2001cn          
